location_id,X,Y,SOCc
RT-E3,-88.15296898,39.88568629,2.83
RT-E4,-88.15296729,39.8853454,2.4
RT-E5,-88.15296621,39.88500481,2.01
RT-E6,-88.15296449000002,39.88466181999999,2.2
RT-E7,-88.15296303,39.88432078999999,2.54
RT-E8,-88.1529626,39.88398046,2.56
RT-E9,-88.15296137,39.88364155,2.38
RT-F1,-88.15340723,39.8863568,2.18
RT-F10,-88.15339696,39.88329668,1.47
RT-F11,-88.15339685000001,39.88295685999999,1.8
RT-F12,-88.15339575,39.88261901999999,2.63
RT-F13,-88.15339483,39.88228154000001,2.29
RT-F14,-88.1533933,39.88194348,2.12
RT-F15,-88.15339185,39.88160299,2.39
RT-F16,-88.15339113,39.8812648,2.07
RT-F17,-88.15339142,39.8809601,1.82
RT-F18,-88.15338916,39.88062699,1.66
RT-F19,-88.15338777,39.88029456000001,1.08
RT-F2,-88.1534065,39.88601813,2.39
RT-F3,-88.1534052,39.88567709999999,2.67
RT-F4,-88.15340353,39.88533700000001,2.08
RT-F5,-88.15340295,39.88499461,2.19
RT-F6,-88.15340261,39.88465396999999,2.42
RT-F7,-88.15340005,39.88431440999999,2.84
RT-F8,-88.15340031,39.88397278000001,2.68
RT-F9,-88.15339862,39.883635950000006,2.36
RT-G1,-88.15385255,39.88635872,1.79
RT-G10,-88.15384225,39.8833015,1.85
RT-G11,-88.1538411,39.88296403999999,2.43
RT-G12,-88.15383991,39.88262628,2.42
RT-G13,-88.15383836,39.88228915999999,2.37
RT-G14,-88.15383719,39.88194894,1.98
RT-G15,-88.15383695,39.88160808,1.85
RT-G16,-88.15383581,39.88127106999999,1.73
RT-G17,-88.15383673,39.88095621,1.56
RT-G18,-88.15383387,39.88062531999999,1.57
RT-G19,-88.153833,39.88029829,1.15
RT-G2,-88.15385119,39.88601512,3.26
RT-G3,-88.15384954,39.885677650000005,2.31
RT-G4,-88.15384904,39.88533899,1.6
RT-G5,-88.1538483,39.88499793,1.93
RT-G6,-88.15384673,39.88465543,2.21
RT-G7,-88.15384628,39.88431791,1.18
RT-G8,-88.15384544,39.88397956000001,1.47
RT-G9,-88.15384332,39.88364150999999,1.85
RT-H1,-88.15428809,39.88624671,2.23
RT-H10,-88.15427935,39.88325492999999,2.41
RT-H11,-88.15427847,39.88292418999999,2.18
RT-H12,-88.15427818,39.88259047999999,2.46
RT-H13,-88.15427658,39.88226034,1.5
RT-H14,-88.15427587,39.88192579,0.99
RT-H15,-88.15427332000002,39.88160082,1.0
RT-H16,-88.15427287,39.88126467999999,1.08
RT-H17,-88.15427346,39.88096298999999,1.33
RT-H18,-88.15426996,39.88063260999999,1.54
RT-H19,-88.15427041,39.88030215000001,1.23
RT-H2,-88.15428732,39.88591477999999,1.99
RT-H3,-88.15428625,39.88558169,1.98
RT-H4,-88.15428503,39.88525009,2.36
RT-H5,-88.15428415000001,39.88491825,2.45
RT-H6,-88.15428544,39.88458475,2.18
RT-H7,-88.15428496000001,39.88425060000001,1.28
RT-H8,-88.15428153,39.88391636,0.85
RT-H9,-88.15428035,39.88358524,2.16
RT-I1,-88.15472494,39.88633458,2.92
RT-I10,-88.15471674,39.88334242,2.03
RT-I11,-88.15471532,39.88301134,1.13
RT-I12,-88.15471321,39.88268031,1.08
RT-I13,-88.15471229,39.88234860000001,1.37
RT-I14,-88.15471088,39.88198625,1.29
RT-I15,-88.15471004,39.881648,1.07
RT-I16,-88.15470856,39.88131645,1.45
RT-I17,-88.1547104,39.88097306,1.56
RT-I18,-88.15470799,39.880638220000016,1.29
RT-I19,-88.15471091,39.88030818,1.29
RT-I2,-88.15472552,39.88599964,2.39
RT-I3,-88.15472384,39.885665190000005,2.34
RT-I4,-88.15472224,39.88533274999999,2.01
RT-I5,-88.15472096,39.88499969,1.6
RT-I6,-88.1547188,39.88466748,1.22
RT-I7,-88.1547193,39.88433422,1.35
RT-I8,-88.15471737000001,39.88400573000001,1.84
RT-I9,-88.15471666,39.88367443999999,2.14
RT-J1,-88.15515396,39.88620789000001,2.11
RT-J10,-88.15514448,39.88321188,1.94
RT-J11,-88.15514324,39.88288167000001,1.26
RT-J12,-88.15514192,39.88254863,0.77
RT-J13,-88.15514139,39.88221633999999,0.84
RT-J14,-88.15514014,39.88188372,1.35
RT-J15,-88.15513948,39.88154946,1.0
RT-J16,-88.15513879,39.88123808,1.03
RT-J17,-88.15513675,39.88098184,1.16
RT-J18,-88.15513663,39.88064887,1.29
RT-J19,-88.15513553,39.88031345,0.9
RT-J2,-88.15515154,39.88587171,2.17
RT-J3,-88.15515004,39.88553848,2.14
RT-J4,-88.15514775000001,39.88520578000001,1.08
RT-J5,-88.15514835,39.88487286000001,1.41
RT-J6,-88.15514734000001,39.88454087000001,1.05
RT-J7,-88.15514779,39.8842122,1.35
RT-J8,-88.15514544,39.88387787,2.24
RT-J9,-88.15514414000002,39.88354495,2.03
RT-K1,-88.15560589000002,39.88632813999999,2.15
RT-K10,-88.15559618,39.88333450999998,1.03
RT-K11,-88.15559477,39.88300044,1.42
